word,reading_hiragana,meaning_ko,example_jp,example_ko
加入,かにゅう,가입,,
加味,かみ,가미,,
加工,かこう,가공,,
劣る,おとる,뒤떨어지다,,
劣等感,れっとうかん,열등감,,
助動詞,じょどうし,조동사,,
助手,じょしゅ,조수,,
努める,つとめる,힘쓰다,,
励ます,はげます,격려하다,,
励む,はげむ,힘쓰다,,
労力,ろうりょく,노력,,
勇ましい,いさましい,용감한,,
勇敢な,ゆうかんな,용감한,,
勉強家,べんきょうか,공부가 노력가,,
動力,どうりょく,동력,,
動向,どうこう,동향,,
動員,どういん,동원,,
動機,どうき,동기,,
動的な,どうてきな,동적인,,
勘定,かんじょう,계산 셈,,
勝利,しょうり,승리,,
募る,つのる,모집하다,,
募金,ぼきん,모금,,
勢力,せいりょく,세력,,
勤労,きんろう,근로,,
勤勉な,きんべんな,근면한,,
勤務,きんむ,근무,,
勧告,かんこく,권고,,
勧誘,かんゆう,권유,,
化合,かごう,화합,,
化石,かせき,화석,,
匹敵,ひってき,필적,,
区画,くかく,구획,,
区間,くかん,구간,,
医院,いいん,의원,,
匿名,とくめい,익명,,
十字路,じゅうじろ,십자로,,
半端な,はんぱな,어중간한 불완전한,,
卑しい,いやしい,천하다 비열하다,,
協会,きょうかい,협회,,
協定,きょうてい,협정,,
協調,きょうちょう,협조,,
協調性,きょうちょうせい,협조성,,
協議,きょうぎ,협의,,
単価,たんか,단가,,
単独,たんどく,단독,,
単調な,たんちょうな,단조로운,,
単身,たんしん,단신 혼자,,
占める,しめる,차지하다,,
占領,せんりょう,점령,,
印鑑,いんかん,인감,,
危機,きき,위기,,
却下,きゃっか,각하 기각,,
原作,げんさく,원작,,
原則,げんそく,원칙,,
原型,げんけい,원형,,
原子,げんし,원자,,
原形,げんけい,원형,,
原文,げんぶん,원문,,
原書,げんしょ,원서,,
原油,げんゆ,원유,,
原点,げんてん,원점 출발점,,
原爆,げんばく,원폭,,
厳かな,おごそかな,엄숙한 장엄한,,
厳しい,きびしい,엄격한,,
去る,さる,떠나다,,
参上,さんじょう,찾아옴,,
参議院,さんぎいん,참의원,,
反乱,はんらん,반란,,
反射,はんしゃ,반사,,
反感,はんかん,반감,,
反撃,はんげき,반격,,
反発,はんぱつ,반발,,
反響,はんきょう,반향,,
収容,しゅうよう,수용,,
収支,しゅうし,수지 수입과 지출,,
収益,しゅうえき,수익,,
収集,しゅうしゅう,수집,,
取り付ける,とりつける,설치하다 달다,,
取り寄せる,とりよせる,주문해서 들여오다,,
取り戻す,とりもどす,되찾다 회복하다,,
取り扱い,とりあつかい,취급,,
取り扱う,とりあつかう,취급하다 다루다,,
取り次ぐ,とりつぐ,전달하다 중개하다,,
取り立てる,とりたてる,징수하다 특별히 다루다,,
取り組む,とりくむ,몰두하다 착수하다,,
取り除く,とりのぞく,제거하다,,
取材,しゅざい,취재,,
受け持つ,うけもつ,맡다 담당하다,,
受け止める,うけとめる,받아들이다 받아내다,,
受け流す,うけながす,받아넘기다 흘려듣다,,
受け継ぐ,うけつぐ,이어받다 계승하다,,
口ずさむ,くちずさむ,흥얼거리다,,
口出し,くちだし,참견,,
口述,こうじゅつ,구술,,
古代,こだい,고대,,
可決,かけつ,가결,,
台本,だいほん,대본,,
叶う,かなう,이루어지다,,
司法,しほう,사법,,
合併,がっぺい,합병,,
合唱,がっしょう,합창,,
合意,ごうい,합의,,
合成,ごうせい,합성,,
合致,がっち,합치,,
合議,ごうぎ,합의,,
合間,あいま,틈,,
同士,どうし,동료 같은 부류,,
同封,どうふう,동봉,,
同居,どうきょ,동거,,
同志,どうし,동지,,
同情,どうじょう,동정,,
同感,どうかん,동감,,
同盟,どうめい,동맹,,
同等,どうとう,동등,,
同級,どうきゅう,동급,,
同調,どうちょう,동조,,
名実,めいじつ,명실 실제와 이름,,
名手,めいしゅ,명수 뛰어난 사람,,
名残,なごり,아쉬움,,
名産,めいさん,명산,,
名称,めいしょう,명칭,,
名簿,めいぼ,명부,,
名義,めいぎ,명의,,
名誉,めいよ,명예,,
名高い,なだかい,유명한,,
向上,こうじょう,향상,,
君主,くんしゅ,군주,,
吟味,ぎんみ,음미,,
否む,いなむ,부정하다,,
否決,ひけつ,부결,,
呆然,ぼうぜん,망연,,
告白,こくはく,고백,,
周期,しゅうき,주기,,
味覚,みかく,미각,,
呼びかける,よびかける,호소하다 말을 걸다,,
呼び起こす,よびおこす,불러일으키다 환기하다,,
命中,めいちゅう,명중,,
和やかな,なごやかな,온화한 화기애애한,,
和風,わふう,일본풍,,
品種,ひんしゅ,품종,,
品質,ひんしつ,품질,,
唱える,となえる,주장하다,,
問い合わせる,といあわせる,문의하다,,
問題外,もんだいがい,문제 밖 논외,,
喜劇,きげき,희극,,
営む,いとなむ,영위하다,,
嗜好,しこう,기호,,
嘆く,なげく,탄식하다,,
器官,きかん,기관,,
噴出,ふんしゅつ,분출,,
回覧,かいらん,회람,,
回路,かいろ,회로,,
回送,かいそう,회송,,
回顧,かいこ,회고,,
団結,だんけつ,단결,,
図る,はかる,도모하다,,
固定,こてい,고정,,
固有な,こゆうな,고유한,,
国交,こっこう,국교,,
国有,こくゆう,국유,,
国連,こくれん,유엔,,
土俵,どひょう,씨름판,,
土台,どだい,토대,,
土木,どぼく,토목,,
圧倒,あっとう,압도,,
圧力,あつりょく,압력,,
圧迫,あっぱく,압박,,
在庫,ざいこ,재고,,
地形,ちけい,지형,,
地獄,じごく,지옥,,
垣根,かきね,울타리,,
埋蔵,まいぞう,매장,,
城下,じょうか,성 아래,,
執着,しゅうちゃく,집착,,
執筆,しっぴつ,집필,,
基盤,きばん,기반,,
基調,きちょう,기조,,
基金,ききん,기금,,
堂々と,どうどうと,당당하게,,
堅実な,けんじつな,견실한 착실한,,
堤防,ていぼう,제방,,
報酬,ほうしゅう,보수,,
増強,ぞうきょう,증강,,
増進,ぞうしん,증진,,
墜落,ついらく,추락,,
壊す,こわす,부수다,,
壮大な,そうだいな,장대한,,
声明,せいめい,성명,,
売名,ばいめい,매명 이름을 팔려 함,,
変動,へんどう,변동,,
変換,へんかん,변환,,
変遷,へんせん,변천,,
変革,へんかく,변혁,,
夕闇,ゆうやみ,땅거미,,
外す,はずす,떼다,,
外来,がいらい,외래,,
外相,がいしょう,외무상,,
外観,がいかん,외관,,
外貨,がいか,외화,,
多忙な,たぼうな,매우 바쁜,,
多数決,たすうけつ,다수결,,
多様な,たような,다양한,,
多気,たき,,,
多角的な,たかくてきな,다각적인,,
夥しい,おびただしい,엄청나다 매우 많다,,
大らかな,おおらかな,너그러운 대범한,,
大ヒット,だいひっと,대히트,,
大事件,だいじけん,대사건,,
大使,たいし,대사,,
大家,たいか,대가,,
大幅,おおはば,대폭,,
大幅な,おおはばな,대폭의 큰 폭의,,
大当たり,おおあたり,대성공 큰 당첨,,
大役,たいやく,큰 역할 중책,,
大急ぎ,おおいそぎ,매우 급함,,
大掃除,おおそうじ,대청소,,
大方,おおかた,대체로 대부분,,
大柄,おおがら,큰 체격 큰 무늬,,
大柄な,おおがらな,큰 체격의 큰 무늬의,,
大概,たいがい,대개,,
大流行,だいりゅうこう,대유행,,
大筋,おおすじ,대강 줄거리,,
大自然,だいしぜん,대자연,,
大衆,たいしゅう,대중,,
大躍進,だいやくしん,대약진,,
大金,たいきん,큰돈,,
大雨,おおあめ,큰비 폭우,,
天下,てんか,천하,,
天体,てんたい,천체,,
天国,てんごく,천국,,
天地,てんち,천지,,
天才,てんさい,천재,,
天災,てんさい,천재지변,,
失墜,しっつい,실추,,
失格,しっかく,실격,,
失脚,しっきゃく,실각,,
契機,けいき,계기,,
契約,けいやく,계약,,
奪う,うばう,빼앗다,,
奮闘,ふんとう,분투,,
好ましい,このましい,바람직한,,
好悪,こうお,호오 좋고 싫음,,
好感,こうかん,호감,,
好機,こうき,호기 좋은 기회,,
好況,こうきょう,호황,,
好調な,こうちょうな,호조인,,
好転,こうてん,호전,,
妊娠,にんしん,임신,,
妥協,だきょう,타협,,
妥当,だとう,타당,,
妥結,だけつ,타결,,
妨害,ぼうがい,방해,,
妬む,ねたむ,시기하다,,
始末,しまつ,처리,,
始発,しはつ,첫차,,
威力,いりょく,위력,,
婉曲,えんきょく,완곡,,
嫉妬,しっと,질투,,
嫌悪感,けんおかん,혐오감,,
子息,しそく,자식,,
字体,じたい,자체,,
季刊,きかん,계간,,
孤独な,こどくな,고독한,,
学歴,がくれき,학력,,
学芸,がくげい,학예,,
学説,がくせつ,학설,,
守備,しゅび,수비,,
守衛,しゅえい,수위,,
安っぽい,やすっぽい,싸구려 같은,,
安堵,あんど,안도,,
安定感,あんていかん,안정감,,
安静,あんせい,안정,,
完結,かんけつ,완결,,
官僚,かんりょう,관료,,
定まる,さだまる,정해지다,,
定年,ていねん,정년,,
定食,ていしょく,정식,,
