word,reading_hiragana,meaning_ko,example_jp,example_ko
配置,はいち,배치,,
酪農,らくのう,낙농,,
釈明,しゃくめい,해명,,
重宝な,ちょうほうな,편리한,,
重複,ちょうふく,중복,,
重量級,じゅうりょうきゅう,중량급,,
野党,やとう,야당,,
野外,やがい,야외,,
野生,やせい,야생,,
鈍感な,どんかんな,둔감한,,
鉄棒,てつぼう,철봉,,
鉄鋼,てっこう,철강,,
鉢,はち,화분,,
鉱山,こうざん,광산,,
鉱業,こうぎょう,광업,,
錯覚,さっかく,착각,,
錯誤,さくご,착오,,
鍛える,きたえる,단련하다,,
鑑定,かんてい,감정 평가,,
鑑賞,かんしょう,감상,,
長官,ちょうかん,장관,,
長編,ちょうへん,장편,,
閉口,へいこう,말문이 막힘,,
閉鎖,へいさ,폐쇄,,
開催,かいさい,개최,,
開場,かいじょう,개장,,
開幕,かいまく,개막,,
開拓,かいたく,개척,,
開発,かいはつ,개발,,
閑静な,かんせいな,한적한,,
関税,かんぜい,관세,,
閲覧,えつらん,열람,,
防火,ぼうか,방화,,
防衛,ぼうえい,방위,,
阻止,そし,저지,,
降水,こうすい,강수,,
限定,げんてい,한정,,
除外,じょがい,제외,,
陰気な,いんきな,음침한,,
陳列,ちんれつ,진열,,
階層,かいそう,계층,,
階級,かいきゅう,계급,,
随時,ずいじ,수시로,,
隔週,かくしゅう,격주,,
隣,となり,옆,,
集計,しゅうけい,집계,,
雑談,ざつだん,잡담,,
雑貨,ざっか,잡화,,
雨天,うてん,우천,,
電源,でんげん,전원,,
需要,じゅよう,수요,,
霜,しも,서리,,
青春,せいしゅん,청춘,,
静止,せいし,정지,,
静的な,せいてきな,정적인,,
非行,ひこう,비행,,
面会,めんかい,면회,,
面目,めんもく,면목,,
革命,かくめい,혁명,,
革新,かくしん,혁신,,
音楽家,おんがくか,음악가,,
預金,よきん,예금,,
領土,りょうど,영토,,
領地,りょうち,영지,,
領海,りょうかい,영해,,
頻繁,ひんぱん,빈번함,,
頻繁な,ひんぱんな,빈번한,,
顕著な,けんちょな,현저한,,
願書,がんしょ,원서,,
類似性,るいじせい,유사성,,
顧客,こきゃく,고객,,
風俗,ふうぞく,풍속,,
風土,ふうど,풍토,,
風習,ふうしゅう,풍습,,
風車,ふうしゃ,풍차,,
食い止める,くいとめる,저지하다 막다,,
食い違う,くいちがう,엇갈리다 맞지 않다,,
食べそびれる,たべそびれる,먹을 기회를 놓치다,,
飲み込む,のみこむ,삼키다 이해하다,,
飼育,しいく,사육,,
養う,やしなう,기르다,,
養護,ようご,양호,,
首脳,しゅのう,수뇌,,
香辛料,こうしんりょう,향신료,,
馬鹿馬鹿しい,ばかばかしい,어리석다 터무니없다,,
馴れ馴れしい,なれなれしい,스스럼없다 지나치게 친한 척하다,,
駄作,ださく,졸작,,
駆け付ける,かけつける,급히 달려가다,,
駆使,くし,구사,,
騒動,そうどう,소동,,
驚嘆,きょうたん,경탄,,
驚異,きょうい,경이,,
骨董品,こっとうひん,골동품,,
高原,こうげん,고원,,
魂,たましい,영혼,,
鮮やかな,あざやかな,선명한 훌륭한,,
麻痺,まひ,마비,,
麻酔,ますい,마취,,
～がたい,がたい,하기 어렵다,,
～人目,にんめ,번째 사람,,
～番目,ばんめ,번째,,
