word,reading_hiragana,meaning_ko,source_title,source_author,source_url,example_jp,example_ko,source
たちまち,たちまち,순식간에,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はちょっと改まって、「ほんとにありがとうございました」と頭を下げたが、たちまちroughishな目つきをして、「まあそんな事はいずれあとで、ね、……何しろお寒かったでしょう、さ」といいながら飲み残りの酒を盆の上に無造作に捨てて、二三度左手をふってしずくを切ってから、コップを古藤にさしつけた。,,public_domain:青空文庫:或る女:有島武郎
たまたま,たまたま,우연히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,たまたま大きな声で呼び留める人があるかと思えば、裏表の見えすいたぺてんにかけて、昔のままの女であらせようとするものばかりだった。,,public_domain:青空文庫:或る女:有島武郎
たやすい,たやすい,쉽다,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,始めて遠い航海を試みる葉子にしては、それが不思議なくらいたやすい旅だった。,,public_domain:青空文庫:或る女:有島武郎
だぶだぶ,だぶだぶ,헐렁헐렁,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,だぶだぶのズボン一つで、節くれ立った厚みのある毛胸に一糸もつけない大男は、やおら人中から立ち上がると、ずかずか葉子に突きあたらんばかりにすれ違って、すれ違いざまに葉子の顔を孔のあくほどにらみつけて、聞くにたえない雑言を高々とののしって、自分の群れを笑わした。,,public_domain:青空文庫:或る女:有島武郎
つくづく,つくづく,절실히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そしてつくづく自分の心の変わりかたの激しさに驚かずにはいられなかった。,,public_domain:青空文庫:或る女:有島武郎
てっきり,てっきり,틀림없이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,「戸もあけてくれずに……」との岡の言葉から、てっきり鍵がかかっていると思っていた葉子にはそれが意外でもあり、あたりまえにも思えた。,,public_domain:青空文庫:或る女:有島武郎
とかく,とかく,아무래도,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そして葉子が久しぶりで汽車の中で出あった今は、妻子を里に返してしまって、ある由緒ある堂上華族の寄食者となって、これといってする仕事もなく、胸の中だけにはいろいろな空想を浮かべたり消したりして、とかく回想にふけりやすい日送りをしている時だった。,,public_domain:青空文庫:或る女:有島武郎
とっさに,とっさに,순간적으로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,この人を自分から離れさすくらいなら殺してみせる、そう葉子はとっさに思いつめてみたりした。,,public_domain:青空文庫:或る女:有島武郎
ともかく,ともかく,어쨌든,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,この五十川女史のまあまあというような不思議なあいまいな切り盛りで、木村は、どこか不確実ではあるが、ともかく葉子を妻としうる保障を握ったのだった。,,public_domain:青空文庫:或る女:有島武郎
どうか,どうか,부디,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,こんな性質でこんな境遇にいるわたしがこう考えるのにもし間違いがあったら、どうか遠慮なくおっしゃってください。,,public_domain:青空文庫:或る女:有島武郎
